author,summary,link,publish_time,title,fetched_at
中国政府网,国务院关于修改《中华人民共和国国际海运条例》的决定,https://www.gov.cn/zhengce/content/202509/content_7042832.htm,2025-09-29,国务院关于修改《中华人民共和国国际海运条例》的决定,2025-11-20T20:31:30.059576
中国政府网,军用土地管理条例（全文）,https://www.gov.cn/zhengce/content/202509/content_7041917.htm,2025-09-23,军用土地管理条例（全文）,2025-11-20T20:31:30.059576
中国政府网,外国驻华外交领事机构中国籍雇员管理条例（全文）,https://www.gov.cn/zhengce/content/202509/content_7040749.htm,2025-09-15,外国驻华外交领事机构中国籍雇员管理条例（全文）,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于进一步加强旅游市场综合监管的通知》,https://www.gov.cn/zhengce/content/202509/content_7040751.htm,2025-09-15,国办印发《关于进一步加强旅游市场综合监管的通知》,2025-11-20T20:31:30.059576
中国政府网,国办印发《“三北”工程总体规划》,https://www.gov.cn/zhengce/content/202509/content_7040317.htm,2025-09-12,国办印发《“三北”工程总体规划》,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意全国部分地区要素市场化配置综合改革试点实施方案,https://www.gov.cn/zhengce/content/202509/content_7040121.htm,2025-09-11,国务院批复同意全国部分地区要素市场化配置综合改革试点实施方案,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意《医疗卫生强基工程实施方案》,https://www.gov.cn/zhengce/content/202509/content_7039977.htm,2025-09-10,国务院批复同意《医疗卫生强基工程实施方案》,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意新建黄岩岛国家级自然保护区,https://www.gov.cn/zhengce/content/202509/content_7039976.htm,2025-09-10,国务院批复同意新建黄岩岛国家级自然保护区,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于释放体育消费潜力进一步推进体育产业高质量发展的意见》,https://www.gov.cn/zhengce/content/202509/content_7039155.htm,2025-09-04,国办印发《关于释放体育消费潜力进一步推进体育产业高质量发展的意见》,2025-11-20T20:31:30.059576
中国政府网,国务院公布第四批国家级抗战纪念设施、遗址名录,https://www.gov.cn/zhengce/content/202508/content_7038250.htm,2025-08-29,国务院公布第四批国家级抗战纪念设施、遗址名录,2025-11-20T20:31:30.059576
中国政府网,中共中央 国务院关于推动城市高质量发展的意见,https://www.gov.cn/zhengce/202508/content_7038144.htm,2025-08-28,中共中央 国务院关于推动城市高质量发展的意见,2025-11-20T20:31:30.059576
中国政府网,国务院印发《关于深入实施“人工智能+”行动的意见》,https://www.gov.cn/zhengce/content/202508/content_7037861.htm,2025-08-26,国务院印发《关于深入实施“人工智能+”行动的意见》,2025-11-20T20:31:30.059576
中国政府网,中办国办关于推进绿色低碳转型加强全国碳市场建设的意见,https://www.gov.cn/zhengce/202508/content_7037717.htm,2025-08-25,中办国办关于推进绿色低碳转型加强全国碳市场建设的意见,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意《中国（江苏）自由贸易试验区生物医药全产业链开放创新发展方案》,https://www.gov.cn/zhengce/content/202508/content_7037374.htm,2025-08-21,国务院批复同意《中国（江苏）自由贸易试验区生物医药全产业链开放创新发展方案》,2025-11-20T20:31:30.059576
中国政府网,国办转发《关于规范政府和社会资本合作存量项目建设和运营的指导意见》,https://www.gov.cn/zhengce/content/202508/content_7037232.htm,2025-08-20,国办转发《关于规范政府和社会资本合作存量项目建设和运营的指导意见》,2025-11-20T20:31:30.059576
中国政府网,国务院关于修改《中华人民共和国外国人入境出境管理条例》的决定,https://www.gov.cn/zhengce/content/202508/content_7036507.htm,2025-08-14,国务院关于修改《中华人民共和国外国人入境出境管理条例》的决定,2025-11-20T20:31:30.059576
中国政府网,国办印发《自然灾害调查评估暂行办法》,https://www.gov.cn/zhengce/content/202508/content_7035567.htm,2025-08-07,国办印发《自然灾害调查评估暂行办法》,2025-11-20T20:31:30.059576
中国政府网,中办国办印发《整治形式主义为基层减负若干规定》,https://www.gov.cn/zhengce/202508/content_7035438.htm,2025-08-06,中办国办印发《整治形式主义为基层减负若干规定》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于逐步推行免费学前教育的意见》,https://www.gov.cn/zhengce/content/202508/content_7035305.htm,2025-08-05,国办印发《关于逐步推行免费学前教育的意见》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于加强重度残疾人托养照护服务的意见》,https://www.gov.cn/zhengce/content/202507/content_7034631.htm,2025-07-31,国办印发《关于加强重度残疾人托养照护服务的意见》,2025-11-20T20:31:30.059576
中国政府网,中办国办印发《地方党政领导干部生态环境保护责任制规定（试行）》,https://www.gov.cn/zhengce/202507/content_7034371.htm,2025-07-29,中办国办印发《地方党政领导干部生态环境保护责任制规定（试行）》,2025-11-20T20:31:30.059576
中国政府网,中办国办印发《育儿补贴制度实施方案》,https://www.gov.cn/zhengce/202507/content_7034132.htm,2025-07-28,中办国办印发《育儿补贴制度实施方案》,2025-11-20T20:31:30.059576
中国政府网,农村公路条例（全文）,https://www.gov.cn/zhengce/content/202507/content_7033173.htm,2025-07-22,农村公路条例（全文）,2025-11-20T20:31:30.059576
中国政府网,住房租赁条例（全文）,https://www.gov.cn/zhengce/content/202507/content_7032955.htm,2025-07-21,住房租赁条例（全文）,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于进一步加大稳就业政策支持力度的通知》,https://www.gov.cn/zhengce/content/202507/content_7031215.htm,2025-07-09,国办印发《关于进一步加大稳就业政策支持力度的通知》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于健全“高效办成一件事”重点事项常态化推进机制的意见》,https://www.gov.cn/zhengce/content/202507/content_7031050.htm,2025-07-08,国办印发《关于健全“高效办成一件事”重点事项常态化推进机制的意见》,2025-11-20T20:31:30.059576
中国政府网,国办印发《“高效办成一件事”2025年度第二批重点事项清单》,https://www.gov.cn/zhengce/content/202507/content_7031052.htm,2025-07-08,国办印发《“高效办成一件事”2025年度第二批重点事项清单》,2025-11-20T20:31:30.059576
中国政府网,国务院：做好自贸试验区全面对接国际高标准经贸规则推进高水平制度型开放试点措施复制推广工作,https://www.gov.cn/zhengce/content/202507/content_7030496.htm,2025-07-03,国务院：做好自贸试验区全面对接国际高标准经贸规则推进高水平制度型开放试点措施复制推广工作,2025-11-20T20:31:30.059576
中国政府网,国办印发《促进残疾人就业三年行动方案（2025—2027年）》,https://www.gov.cn/zhengce/content/202506/content_7030053.htm,2025-06-30,国办印发《促进残疾人就业三年行动方案（2025—2027年）》,2025-11-20T20:31:30.059576
中国政府网,蓄滞洪区运用补偿办法（全文）,https://www.gov.cn/zhengce/content/202506/content_7029703.htm,2025-06-27,蓄滞洪区运用补偿办法（全文）,2025-11-20T20:31:30.059576
中国政府网,中办国办关于全面推进江河保护治理的意见,https://www.gov.cn/zhengce/202506/content_7029509.htm,2025-06-26,中办国办关于全面推进江河保护治理的意见,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于进一步完善信用修复制度的实施方案》,https://www.gov.cn/zhengce/content/202506/content_7029483.htm,2025-06-26,国办印发《关于进一步完善信用修复制度的实施方案》,2025-11-20T20:31:30.059576
中国政府网,国办印发《关于进一步规范和提升12345热线服务的意见》,https://www.gov.cn/zhengce/content/202506/content_7029400.htm,2025-06-25,国办印发《关于进一步规范和提升12345热线服务的意见》,2025-11-20T20:31:30.059576
中国政府网,互联网平台企业涉税信息报送规定（全文）,https://www.gov.cn/zhengce/content/202506/content_7029052.htm,2025-06-23,互联网平台企业涉税信息报送规定（全文）,2025-11-20T20:31:30.059576
中国政府网,国办关于同意湖南省承办2029年第十六届全国运动会的函,https://www.gov.cn/zhengce/content/202506/content_7028409.htm,2025-06-17,国办关于同意湖南省承办2029年第十六届全国运动会的函,2025-11-20T20:31:30.059576
中国政府网,中办国办关于深入推进深圳综合改革试点深化改革创新扩大开放的意见,https://www.gov.cn/zhengce/202506/content_7027178.htm,2025-06-10,中办国办关于深入推进深圳综合改革试点深化改革创新扩大开放的意见,2025-11-20T20:31:30.059576
中国政府网,中办国办关于进一步保障和改善民生 着力解决群众急难愁盼的意见,https://www.gov.cn/zhengce/202506/content_7027015.htm,2025-06-09,中办国办关于进一步保障和改善民生 着力解决群众急难愁盼的意见,2025-11-20T20:31:30.059576
中国政府网,国办转发《关于进一步加强城市建筑垃圾治理的意见》,https://www.gov.cn/zhengce/content/202506/content_7027026.htm,2025-06-09,国办转发《关于进一步加强城市建筑垃圾治理的意见》,2025-11-20T20:31:30.059576
中国政府网,国务院印发《关于开展第四次全国农业普查的通知》,https://www.gov.cn/zhengce/content/202506/content_7026597.htm,2025-06-05,国务院印发《关于开展第四次全国农业普查的通知》,2025-11-20T20:31:30.059576
中国政府网,国务院批复同意授权海南省人民政府审批有关用地事项,https://www.gov.cn/zhengce/content/202506/content_7026581.htm,2025-06-05,国务院批复同意授权海南省人民政府审批有关用地事项,2025-11-20T20:31:30.059576
中国政府网,政务数据共享条例（全文）,https://www.gov.cn/zhengce/content/202506/content_7026294.htm,2025-06-03,政务数据共享条例（全文）,2025-11-20T20:31:30.059576
中国政府网,中办国办关于健全资源环境要素市场化配置体系的意见,https://www.gov.cn/zhengce/202505/content_7025725.htm,2025-05-29,中办国办关于健全资源环境要素市场化配置体系的意见,2025-11-20T20:31:30.059576
中国政府网,重要军工设施保护条例（全文）,https://www.gov.cn/zhengce/content/202505/content_7025325.htm,2025-05-26,重要军工设施保护条例（全文）,2025-11-20T20:31:30.059576
中国政府网,中办国办关于完善中国特色现代企业制度的意见,https://www.gov.cn/zhengce/202505/content_7025304.htm,2025-05-26,中办国办关于完善中国特色现代企业制度的意见,2025-11-20T20:31:30.059576
中国政府网,中共中央 国务院印发《党政机关厉行节约反对浪费条例》,https://www.gov.cn/zhengce/202505/content_7024130.htm,2025-05-18,中共中央 国务院印发《党政机关厉行节约反对浪费条例》,2025-11-20T20:31:30.059576
中国政府网,中办国办关于持续推进城市更新行动的意见,https://www.gov.cn/zhengce/202505/content_7023880.htm,2025-05-15,中办国办关于持续推进城市更新行动的意见,2025-11-20T20:31:30.059576
中国政府网,国办印发《国务院2025年度立法工作计划》,https://www.gov.cn/zhengce/content/202505/content_7023697.htm,2025-05-14,国办印发《国务院2025年度立法工作计划》,2025-11-20T20:31:30.059576
中国政府网,中共中央 国务院印发《生态环境保护督察工作条例》,https://www.gov.cn/zhengce/202505/content_7023427.htm,2025-05-12,中共中央 国务院印发《生态环境保护督察工作条例》,2025-11-20T20:31:30.059576
